date,PI_CA,SI_CA,II_CA,PI_I,SI_I,II_I,PI_CO,SI_CO,II_CO,PI_W,SI_W,II_W,PI_MM,SI_MM,II_MM,PI_MQ,SI_MQ,II_MQ,PI_MF,SI_MF,II_MF,SI_E,Unemployment,Act_pop_total,Employed_total,Unemployed_3mts,Unemployed_3_6mts,Unemployed_6_12mts,Unemployed_ov6,Unemployed_ov12,HousePrice,HousePrice_S,HousePrice_P,BSI_BC,BSI_SG,BSI_P,BSI_FS,BSI_HR,PI_P,PI_C,PI_SI,PI_PA,MB,Currency_cir,CBLIAB_DC,M1,M2,CD,CP,YT_1,YT_3,YT_5,YT_10,CB_3_AA,BaseRate,CB_3_BBB,FX_US,FX_CH,FX_JP,FX_EU,FX_BR,FX_CA,FX_SW,CPI,CPI_F,CPI_C,CPI_H,CPI_HE,CPI_T,CPI_E,CPI_M,SPI_R,SPI_I,SPI_F,SPI_RI,IPI_A,IPI_B,IPI_C,IPI_L,IPI_M,EPI_A,EPI_M,KOSPI,KOSDAQ,Expected_inf,Oilprice,TB_spread,USCPI,IR_House,USB_10,LeadingCI,LaggingCI,VKOSPI
td,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,2,5,5,5,1,1,1,1,1,5,5,5,5,5,5,5,5,5,2,2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,2,5,2,2,5,5,1
04-Aug,80.676,83.725,47.866,44.747,52.469,42.169,90.809,97.398,64.304,58.075,62.036,47.057,57.74,61.975,47.057,157.033,173.697,57.572,61.77,46.968,65.348,64.776,3.7,23373.8,22524.8,542.4,218.9,75.6,87.6,12,60.33976732,54.71360747,67.18149808,70,86,81,85,96,58.1,87.9619,65.3,70.9,37300,17662.7,19637.3,303292,936302.7,3.7,3.84,3.73,3.82,4.01,4.33,4.38,3.5,8.8,1159,139.9129879,1050.33,1412.07,2109.7,882.28,917.82,73.191,61.816,68.669,73.999,81.579,81.205,71.3,63.115,66.32,85.93,85.89,83.22,68.93,107.08,78.08,57.63,99.99,98.21,124.47,803.57,355.66,3.4,44.94,0.6,189.2,5.8,4.28,56.6,59.8,22.76
04-Sep,83.572,84.319,48.542,44.97,52.976,42.437,92.941,103.601,63.246,58.735,63.163,47.128,58.38,63.228,47.128,154.761,171.595,58.211,63.102,47.048,64.526,63.916,3.7,23735.1,22943.8,488.2,214.9,78,88.2,10.2,60.18926225,54.47627029,67.16036729,74,90,81,85,96,58.7,90.3036,65.8,70.5,37667.3,17957,19710.3,307810.4,946264.9,3.52,3.69,3.5,3.59,3.75,4.14,4.1,3.5,8.52,1147.97,138.7902977,1044.92,1400.99,2055.73,887.83,908.75,73.191,61.959,68.669,73.442,81.508,81.205,71.3,63.172,63.74,86.86,85.72,83.47,68.96,106.05,72.5,62.52,99.77,93.45,124.52,835.09,362.08,3.3,45.95,0.64,189.8,5.63,4.13,56.7,59.9,23.73
04-Oct,81.798,83.807,48.367,45.019,52.919,42.511,92.793,101.498,63.232,58.741,63.429,46.935,58.276,63.433,46.935,152.597,176.773,58.112,63.297,46.873,65.753,63.785,3.7,23840.4,23031,498,222.3,78.5,89.1,10.7,60.03561277,54.22132811,67.15788785,77,89,82,86,95,58.7,86.3741,65.9,70.9,37299.9,18205.1,19094.8,310041.4,946832.6,3.52,3.67,3.48,3.54,3.67,4.05,4.01,3.5,8.4,1144.04,137.9283264,1049.51,1428.65,2066.03,915.73,925.98,73.191,61.385,68.731,73.303,81.508,81.914,71.3,63.228,66.24,87.98,84.78,84.91,68.32,106.05,77.85,64.2,101.76,96.33,126.44,834.84,357.04,3.3,53.13,0.57,190.8,5.57,4.1,56.9,60.1,27.17
04-Nov,82.503,84.153,49.361,45.883,53.771,44,95.844,106.127,62.213,59.75,64.158,47.996,59.494,64.357,47.996,152.034,173.21,59.333,64.159,47.96,64.775,61.788,3.8,23738.4,22917.6,507.9,224.1,80.7,88.7,8,59.73068897,53.87822025,66.91589411,75,90,80,85,96,59.8,81.9771,65.7,71.7,37656.5,18144,19512.5,310468.9,948780.2,3.42,3.57,3.34,3.42,3.53,3.96,3.86,3.25,8.26,1091.19,131.2676819,1040.99,1416.28,2027.13,911.42,930.65,72.75,59.47,67.485,73.373,81.508,81.985,71.3,63.284,61.44,87.46,84.1,83.47,65.02,100.72,68.79,65.21,98.51,88.32,120.72,878.06,373.43,3.3,48.46,0.62,191.7,5.47,4.19,57,60.2,25.05
04-Dec,82.179,83.725,49.609,46.066,54.109,44.009,91.353,100.97,66.152,58.94,62.835,48.864,58.82,62.899,48.864,155.93,174.351,58.653,62.836,48.839,64.41,59.92,3.8,23497.7,22597.7,574.3,228.7,94.5,96.9,2.5,59.45397109,53.58946948,66.66330516,72,88,80,84,95,58.9,84.2756,65.1,69.1,37222.4,18261.3,18961.1,320002.1,954714,3.39,3.53,3.28,3.28,3.39,3.85,3.73,3.25,8.14,1050.91,126.9102651,1012.47,1408.59,2027.79,863.7,917.29,72.877,59.423,68.855,74.138,81.508,81.418,71.3,63.34,58.28,85.49,83.42,81.2,62.51,97.14,64.1,59.15,94.35,75.6,114.08,895.92,380.33,3.4,43.33,0.57,191.7,5.41,4.23,57.1,60.4,21.29
05-Jan,85.108,86.368,56.69,47.713,55.814,44.041,94.206,105.388,68.156,61.429,65.817,49.584,61.388,65.885,49.584,159.9,175.312,61.206,65.748,49.531,64.936,64.576,3.8,23141.4,22157.7,640.7,246.7,92.8,96.3,3.5,59.28622177,53.386322,66.5515449,68,81,77,82,99,61.4,84.5754,67,72.3,37544.5,18333.9,19210.7,321944.6,958086.2,3.47,3.64,3.48,3.65,3.89,4.42,4.11,3.25,8.54,1038.23,125.4132181,1005.69,1363.74,1951.91,849.27,881.67,73.594,60.61,68.925,74.385,82.937,81.178,71.511,63.238,60.8,86.1,85.54,82.88,62.08,97.05,70,55.7,95.12,75.18,117.46,932.7,472.95,3.2,46.84,0.94,191.6,5.45,4.22,57.1,60.6,18.12
05-Feb,82.077,83.213,53.882,46.907,54.736,44.197,91.641,102.333,66.477,60.059,64.291,49.28,59.756,64.161,49.28,147.355,173.21,59.581,64.026,49.277,66.944,66.773,3.7,23127.3,22134.7,626.4,268.1,92.9,98.1,5.2,59.45705474,53.63667529,66.60160865,71,82,80,83,97,60.1,80.5344,67.5,70.4,37803.9,18596.7,19207.2,329012.5,965151.9,3.59,3.76,3.48,4.19,4.47,4.88,4.63,3.25,9.05,1022.43,123.6163265,974.84,1333.91,1932.96,826.68,861.07,73.892,61.902,68.925,74.459,83.02,81.43,71.88,63.046,62.3,85.83,85.72,82.97,61.86,95.59,72.42,59.91,94.25,71.65,116.06,1011.36,498.38,3.3,47.97,1.4,192.4,5.53,4.17,57.4,60.8,16.67
05-Mar,83.11,85.688,50.979,47.924,55.243,45.133,94.475,104.647,65.199,61.985,65.418,49.64,61.71,65.29,49.64,146.702,160.406,61.55,65.153,49.635,68.734,67.842,3.7,23549.5,22590.3,594.2,256.2,102.2,108.8,6.6,59.67870115,53.85935835,66.81659321,87,97,88,89,97,62,87.7874,67.4,70.2,37973.9,18572.7,19401.2,334697.1,977425,3.55,3.73,3.82,4.04,4.29,4.77,4.48,3.25,8.74,1007.49,121.7635579,957.14,1328.62,1918.21,828.55,857.37,74.338,62.087,68.925,74.385,83.104,82.355,74.018,64.132,66.46,85.93,85.63,83.64,62.46,97.58,81.97,60.49,93.77,73.23,114.43,965.68,455.03,3,54.31,0.95,193.1,5.48,4.5,57.9,60.9,19.69
05-Apr,84.114,89.261,50.333,47.565,54.623,47.312,89.977,102.027,63.628,60.694,64.824,50.777,60.328,64.757,50.777,154.892,176.939,60.125,64.621,50.773,68.245,66.843,3.7,23823.3,22919,541.1,263.7,92.3,99.5,7.2,60.00595092,54.17548343,67.15256827,91,98,89,92,96,60.7,89.1551,67.3,69.8,37778,18457.7,19320.3,334317.9,982103.7,3.52,3.7,3.71,3.86,4.11,4.69,4.28,3.25,8.36,1010.94,122.0403149,942.59,1308.75,1916.87,818.83,845.99,74.413,62.394,68.995,74.089,83.186,83.113,74.091,63.876,69.68,86.1,85.72,84.31,62.46,127.83,84.34,64.56,93.31,76.55,113.65,911.3,424.4,2.9,53.04,0.98,193.7,5.32,4.34,58.1,61,22.48
