date	cpi	n_oil	ppi	r_oil_world	r_oil	ind_prod	share	int	r	ip	rsr	op_w	op_n
1986-01	109.9	50.09033424	103.2	48.53714558	45.57810213	57.5555	233.28	7.07					
1986-02	109.7	39.11472448	101.7	38.46088936	35.6560843	57.1707	250.07	7.06	-0.001415428	-0.00670817	0.071322924	-0.232687529	-0.245507585
1986-03	109.1	31.27822945	100.3	31.18467542	28.66932122	56.7784	263.5098	6.56	-0.073454449	-0.006885558	0.057834155	-0.209715062	-0.218092196
1986-04	108.7	28.18428184	99.6	28.29747173	25.92850215	56.8228	262.6399	6.06	-0.079280803	0.000781682	0.000366432	-0.097154339	-0.100484771
1986-05	109	31.72990063	100	31.72990063	29.11000058	56.938	276.5	6.15	0.014742282	0.002025303	0.04867084	0.114487011	0.115738945
1986-06	109.4	26.87443541	99.9	26.90133675	24.56529745	56.7427	279.7798	6.21	0.009708814	-0.003435943	0.008129036	-0.165083495	-0.169747003
1986-07	109.5	21.58988257	99.4	21.72020379	19.71678774	57.0569	260.5798	5.83	-0.063143896	0.005522002	-0.072007376	-0.213933101	-0.219864332
1986-08	109.6	30.4200542	99.3	30.63449567	27.75552391	56.9807	278.1399	5.53	-0.052829185	-0.001336402	0.064302251	0.343883806	0.341964438
1986-09	110	32.11382114	99.4	32.30766714	29.19438285	57.0954	256.0598	5.21	-0.05960796	0.002010939	-0.086356205	0.053177891	0.050541443
1986-10	110.2	31.34598013	99.7	31.44030103	28.44462807	57.3542	270.8999	5.18	-0.005774799	0.004522522	0.054521838	-0.027214033	-0.026017
1986-11	110.4	32.81391147	99.8	32.87967081	29.7227459	57.623	277.73	5.35	0.032291505	0.004675718	0.023086802	0.044764016	0.043953285
1986-12	110.8	35.59168925	99.7	35.69878561	32.12246322	58.1006	269.9299	5.53	0.033091255	0.008254197	-0.032103764	0.082262113	0.077642966
1987-01	111.4	41.73441734	100.5	41.52678342	37.46357032	57.9173	308.3599	5.43	-0.018248682	-0.00315986	0.127704758	0.151221931	0.153813429
1987-02	111.8	39.18247516	101	38.79452986	35.04693664	58.663	322.7898	5.59	0.029040153	0.012793073	0.042149497	-0.068059349	-0.066680793
1987-03	112.2	40.40198735	101.2	39.9229124	36.00890138	58.7602	335.5298	5.59	0	0.001655551	0.035138005	0.028671151	0.027077959
1987-04	112.7	41.66666667	101.9	40.88976121	36.97131027	59.1416	334.3999	5.64	0.008904778	0.006469814	-0.007819621	0.02392929	0.026376045
1987-05	113	42.34417344	102.6	41.27112421	37.47271986	59.517	336.8398	5.66	0.003539827	0.006327418	0.004611467	0.009283389	0.013470984
