"PRICE" "LOTSIZE" "SQRFT" "BDRMS"
"1" 300 6126 2438 4
"2" 370 9903 2076 3
"3" 191 5200 1374 3
"4" 195 4600 1448 3
"5" 373 6095 2514 4
"6" 466.275 8566 2754 5
"8" 315 6210 1731 3
"9" 206 6000 1767 3
"10" 240 2892 1890 3
"11" 285 6000 2336 4
"12" 300 7047 2634 5
"14" 212 6460 1899 3
"15" 265 6519 2312 3
"16" 227.4 3597 1760 4
"17" 240 5922 2000 4
"18" 285 7123 1774 3
"19" 268 5642 1376 3
"20" 310 8602 1835 4
"21" 266 5494 2048 3
"22" 270 7800 2124 3
"23" 225 6003 1768 3
"24" 150 5218 1732 4
"25" 247 9425 1440 3
"26" 275 6114 1932 3
"27" 230 6710 1932 3
"28" 343 8577 2106 3
"29" 477.5 8400 3529 7
"30" 350 9773 2051 4
"31" 230 4806 1573 4
"32" 335 15086 2829 4
"33" 251 5763 1630 3
"34" 235 6383 1840 4
"35" 361 9000 2066 4
"36" 190 3500 1702 4
"37" 360 10892 2750 4
"38" 575 15634 3880 5
"39" 209.001 6400 1854 4
"40" 225 8880 1421 2
"41" 246 6314 1662 3
"42" 713.5 28231 3331 5
"43" 248 7050 1656 4
"44" 230 5305 1171 3
"45" 375 6637 2293 5
"46" 265 7834 1764 3
"47" 313 1000 2768 3
"48" 417.5 8112 3733 4
"49" 253 5850 1536 3
"50" 315 6660 1638 4
"51" 264 6637 1972 3
"52" 255 15267 1478 2
"53" 210 5146 1408 3
"54" 180 6017 1812 3
"55" 250 8410 1722 3
"56" 250 5625 1780 4
"57" 209 5600 1674 4
"58" 258 6525 1850 4
"59" 289 6060 1925 3
"60" 316 5539 2343 4
"61" 225 7566 1567 3
"62" 266 5484 1664 4
"63" 310 5348 1386 6
"64" 471.25 15834 2617 5
"65" 335 8022 2321 4
"66" 495 11966 2638 4
"67" 279.5 8460 1915 4
"68" 380 15105 2589 4
"69" 325 10859 2709 4
"70" 220 6300 1587 3
"71" 215 11554 1694 3
"72" 240 6000 1536 3
"73" 725 31000 3662 5
"74" 230 4054 1736 3
"75" 306 20700 2205 2
"76" 425 5525 1502 3
"77" 318 92681 1696 4
"78" 330 8178 2186 3
"79" 246 5944 1928 4
"80" 225 18838 1294 3
"81" 111 4315 1535 4
"82" 268.125 5167 1980 3
"83" 244 7893 2090 4
"84" 295 6056 1837 3
"85" 236 5828 1715 3
"86" 202.5 6341 1574 3
"87" 219 6362 1185 2
"88" 242 4950 1774 4
